text,label
didnt feel humiliated,0
go feeling hopeless damned hopeful around someone care awake,0
im grabbing minute post feel greedy wrong,3
ever feeling nostalgic fireplace know still property,2
feeling grouchy,3
ive feeling little burdened lately wasnt sure,0
ive taking milligram time recommended amount ive fallen asleep lot faster also feel like funny,5
feel confused life teenager jaded year old man,4
petronas year feel petronas performed well made huge profit,1
feel romantic,2
feel like make suffering seeing mean something,0
feel running divine experience expect type spiritual encounter,1
think easiest time year feel dissatisfied,3
feel low energy thirsty,0
immense sympathy general point possible proto writer trying find time write corner life sign agent let alone publishing contract feel little precious,1
feel reassured anxiety side,1
didnt really feel embarrassed,0
feel pretty pathetic time,0
started feeling sentimental doll child began collection vintage barbie doll sixty,0
feel compromised skeptical value every unit work put,4
feel irritated rejected without anyone anything saying anything,3
feeling completely overwhelmed two strategy help feel grounded pour heart journal form letter god end list five thing grateful,4
feeling amused delighted,1
able help chai lifeline support encouragement great feeling glad able help,1
already feel like fucked though dont usually eat morning,3
still love wish best longer tolerate effect bm life fact turned bitter angry person always particularly kind people around feeling stressed,0
feel inhibited someone elses kitchen like im painting someone elses picture,0
become overwhelmed feel defeated,0
feel kinda appalled feel like need explain wide lenghth body measure etc pp,3
feel superior dead chicken grieving child,1
get giddy feeling elegant perfectly fitted pencil skirt,1
remember feeling acutely distressed day,4
seen heard read past couple day left feeling impressed company,5
climbed hill feeling frustrated id pretty much paced entirely wrong course factor never ever hampered made dent day,3
imagine real life scenario would emotionally connected enough someone feel totally accepted safe morally acceptable close prolonged physical contact sex expected subsequently,1
sure would make feel content anything,1
feeling need creative,1
however want know something someone causing feel less splendid self step away,1
feel bit rude writing elderly gentleman ask gift feel bit greedy christmas mild greed,3
need need someone need protected feel safe small find season word,1
plan share everyday life story traveling adventure inspiration handmade creation hope also feel inspired,1
already christmas tree got two feeling festive sure spurring get started book,1
ive worn little concealer day im feeling brave dont want pale perfect,1
feel strongly passionate jerk decides poke make fun u,1
feeling discouraged already robbing peter pay paul get cow year cant afford get cow way,0
feeling listless need new thing something different,0
lost special mind worry still sane wanted feel felt reading book know many time said sam special guarantee many time used paragraph tell special,1
let go sad feeling want accepted first home mine,2
boat trip denmark,1
stopped feeling cold began feeling hot,3
need feel dough make sure perfect,1
found feeling little discouraged morning,0
feel selfish spoiled,3
stymied little bit wrote feeling unsure might go somewhere story unintended,4
bag qaf look cryin jacynthe lookin good feelin gorgeous rupaul skin scissor sister valentine sun fed kayle daddy gerling awake unkind u,1
feel know basically like fake realm science fiction,0
hate living dad roof give excuse asshole he providing live think feel need make feel unwelcome possible ill leave,0
